Description of Goods and Services being Recharged,Quantity,Approved Rate
AWS CLOUD SERVICES,1,109.6
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  109.60  <> 4 18082 403933 2D 03 3270 DSG AWSFYM AWS CLOUD SERVICES 2025.09 109.60   <> Total          $109.60 $109.60,,
AWS CLOUD SERVICES,1,2.37
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  2.37  <> 4 19900 727609 IC 03 3270  SBDROF AWS CLOUD SERVICES 2025.09 2.37   <> Total          $2.37 $2.37,,
AWS CLOUD SERVICES,1,59.86
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  59.86  <> 4 19900 727601 EB 03 3270  ESPLAT AWS CLOUD SERVICES 2025.09 59.86   <> Total          $59.86 $59.86,,
AWS CLOUD SERVICES,1,0.03
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  0.03  <> 4 23250 444025 CT 03 3270  1TYD AWS CLOUD SERVICES 2025.09 0.03   <> Total          $0.03 $0.03,,
AWS CLOUD SERVICES,1,18.72
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  18.72  <> 4 69970 447640  03 3270  AAMI AWS CLOUD SERVICES 2025.09 18.72   <> Total          $18.72 $18.72,,
AWS CLOUD SERVICES,1,0.11
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  0.11  <> 4 20246 406431 AM 03 3270   AWS CLOUD SERVICES 2025.09 0.11   <> Total          $0.11 $0.11,,
AWS CLOUD SERVICES,1,573.33
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  573.33  <> 4 66080 721272 C1 03 3270  WCBMHP AWS CLOUD SERVICES 2025.09 573.33   <> Total          $573.33 $573.33,,
AWS CLOUD SERVICES,1,316.53
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.09  316.53  <> 4 19900 432410 3C 03 3270  AWS AWS CLOUD SERVICES 2025.09 316.53   <> Total          $316.53 $316.53,,
AWS CLOUD SERVICES,1,966.62
