Description of Goods and Services being Recharged,Quantity,Approved Rate
AWS CLOUD SERVICES,1,106.78
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  106.78  <> 4 18082 403933 2D 03 3270 DSG AWSFYM AWS CLOUD SERVICES 2025.05 106.78   <> Total          $106.78 $106.78,,
AWS CLOUD SERVICES,1,2.09
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  2.09  <> 4 19900 727609 IC 03 3270  SBDROF AWS CLOUD SERVICES 2025.05 2.09   <> Total          $2.09 $2.09,,
AWS CLOUD SERVICES,1,57.54
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  57.54  <> 4 19900 727601 EB 03 3270  ESPLAT AWS CLOUD SERVICES 2025.05 57.54   <> Total          $57.54 $57.54,,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  0.01  <> 4 23250 444025 CT 03 3270  1TYD AWS CLOUD SERVICES 2025.05 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,18.7
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  18.70  <> 4 19965 447639  03 3270  LIB AWS CLOUD SERVICES 2025.05 18.70   <> Total          $18.70 $18.70,,
AWS CLOUD SERVICES,1,0.09
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  0.09  <> 4 20246 406431 AM 03 3270   AWS CLOUD SERVICES 2025.05 0.09   <> Total          $0.09 $0.09,,
AWS CLOUD SERVICES,1,566.49
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  566.49  <> 4 66080 721272 C1 03 3270  WCBMHP AWS CLOUD SERVICES 2025.05 566.49   <> Total          $566.49 $566.49,,
AWS CLOUD SERVICES,1,267.87
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  267.87  <> 4 19900 432410 3C 03 3270  AWS AWS CLOUD SERVICES 2025.05 267.87   <> Total          $267.87 $267.87,,
AWS CLOUD SERVICES,1,899.21
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  899.21  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.05 899.21   <> Total          $899.21 $899.21,,
AWS CLOUD SERVICES,1,64.51
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  64.51  <> 4 29358 448000 MK 03 3270  METHOD AWS CLOUD SERVICES 2025.05 64.51   <> Total          $64.51 $64.51,,
AWS CLOUD SERVICES,1,50.16
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  50.16  <> 4 19902 446469 LF 03 3270   AWS CLOUD SERVICES 2025.05 50.16   <> Total          $50.16 $50.16,,
AWS CLOUD SERVICES,1,65.96
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  65.96  <> 4 77603 448000 JF 03 3270  WLAPP AWS CLOUD SERVICES 2025.05 65.96   <> Total          $65.96 $65.96,,
AWS CLOUD SERVICES,1,3.14
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  3.14  <> 4 75544 447641  03 3270 AW13 AWS AWS CLOUD SERVICES 2025.05 3.14   <> Total          $3.14 $3.14,,
AWS CLOUD SERVICES,1,740.73
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  740.73  <> 4 19900 727609 IC 03 3270  SBDBSR AWS CLOUD SERVICES 2025.05 740.73   <> Total          $740.73 $740.73,,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  0.01  <> 4 69087 443841 CJ 08 3270 0000 DATAX AWS CLOUD SERVICES 2025.05 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,23.23
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  23.23  <> 4 20109 400945 DA 03 3270   AWS CLOUD SERVICES 2025.05 23.23   <> Total          $23.23 $23.23,,
AWS CLOUD SERVICES,1,10.34
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  10.34  <> 4 69996 435970 J1 03 3270   AWS CLOUD SERVICES 2025.05 10.34   <> Total          $10.34 $10.34,,
AWS CLOUD SERVICES,1,2.23
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  2.23  <> 4 19900 727601 EB 03 3270  ESPLAT AWS CLOUD SERVICES 2025.05 2.23   <> Total          $2.23 $2.23,,
AWS CLOUD SERVICES,1,216.06
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  216.06  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.05 216.06   <> Total          $216.06 $216.06,,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  0.01  <> 4 69460 403945 CS 03 3270 AMTURK RESEAR AWS CLOUD SERVICES 2025.05 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,5.22
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  5.22  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.05 5.22   <> Total          $5.22 $5.22,,
AWS CLOUD SERVICES,1,55.6
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  55.60  <> 4 66080 721278 B5 03 3270  CIBACK AWS CLOUD SERVICES 2025.05 55.60   <> Total          $55.60 $55.60,,
AWS CLOUD SERVICES,1,166.52
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  166.52  <> 4 18082 403933 2D 03 3270 DSG AWSHVC AWS CLOUD SERVICES 2025.05 166.52   <> Total          $166.52 $166.52,,
AWS CLOUD SERVICES,1,775.89
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  775.89  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.05 775.89   <> Total          $775.89 $775.89,,
AWS CLOUD SERVICES,1,1.65
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  1.65  <> 4 18125 446465 4A 03 3270 AWS ITSVCS AWS CLOUD SERVICES 2025.05 1.65   <> Total          $1.65 $1.65,,
AWS CLOUD SERVICES,1,144.77
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  144.77  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.05 144.77   <> Total          $144.77 $144.77,,
AWS CLOUD SERVICES,1,4870.73
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  4870.73  <> 4 19900 727601 CD 03 3270  DMEDWH AWS CLOUD SERVICES 2025.05 4870.73   <> Total          $4,870.73 $4,870.73",,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  0.01  <> 4 85188 442521 SM 03 3270  IOBT AWS CLOUD SERVICES 2025.05 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,586.79
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  586.79  <> 4 66080 721275 AA 03 3270  HROPTX AWS CLOUD SERVICES 2025.05 586.79   <> Total          $586.79 $586.79,,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  0.01  <> 4 70000 760416  03 3270   AWS CLOUD SERVICES 2025.05 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,990.96
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  990.96  <> 4 19900 605000 DA 03 3270   AWS CLOUD SERVICES 2025.05 990.96   <> Total          $990.96 $990.96,,
AWS CLOUD SERVICES,1,31.26
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  31.26  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.05 31.26   <> Total          $31.26 $31.26,,
AWS CLOUD SERVICES,1,1410.91
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  1410.91  <> 4 18082 403933 2D 03 3270 DSG AWSHUM AWS CLOUD SERVICES 2025.05 1410.91   <> Total          $1,410.91 $1,410.91",,
AWS CLOUD SERVICES,1,923.18
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  923.18  <> 4 19900 727601 OP 03 3270  ASSOAX AWS CLOUD SERVICES 2025.05 923.18   <> Total          $923.18 $923.18,,
AWS CLOUD SERVICES,1,3119.86
"Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900  AWSCSB AWS CLOUD SERVICES 2025.05  3119.86  <> 4 19900 727601 ED 03 3270  IMACCS AWS CLOUD SERVICES 2025.05 3119.86   <> Total          $3,119.86 $3,119.86",,
