Description of Goods and Services being Recharged,Quantity,Approved Rate
AWS CLOUD SERVICES,1,2.13
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  2.13  <> 4 19900 727609 IC 03 3270  SBDROF AWS CLOUD SERVICES 2025.07 2.13   <> Total          $2.13 $2.13,,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  0.01  <> 4 23250 444025 CT 03 3270  1TYD AWS CLOUD SERVICES 2025.07 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,18.7
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  18.70  <> 4 69970 447640  03 3270  AAMI AWS CLOUD SERVICES 2025.07 18.70   <> Total          $18.70 $18.70,,
AWS CLOUD SERVICES,1,0.1
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  0.10  <> 4 20246 406431 AM 03 3270   AWS CLOUD SERVICES 2025.07 0.10   <> Total          $0.10 $0.10,,
AWS CLOUD SERVICES,1,560.59
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  560.59  <> 4 66080 721272 C1 03 3270  WCBMHP AWS CLOUD SERVICES 2025.07 560.59   <> Total          $560.59 $560.59,,
AWS CLOUD SERVICES,1,274.44
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  274.44  <> 4 19900 432410 3C 03 3270  AWS AWS CLOUD SERVICES 2025.07 274.44   <> Total          $274.44 $274.44,,
AWS CLOUD SERVICES,1,927.72
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  927.72  <> 4 18084 605000 LD 03 3270   AWS CLOUD SERVICES 2025.07 927.72   <> Total          $927.72 $927.72,,
AWS CLOUD SERVICES,1,64.17
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  64.17  <> 4 29358 448000 MK 03 3270  METHOD AWS CLOUD SERVICES 2025.07 64.17   <> Total          $64.17 $64.17,,
AWS CLOUD SERVICES,1,50.24
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  50.24  <> 4 19902 446469 LF 03 3270   AWS CLOUD SERVICES 2025.07 50.24   <> Total          $50.24 $50.24,,
AWS CLOUD SERVICES,1,66.02
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  66.02  <> 4 77603 448000 JF 03 3270  WLAPP AWS CLOUD SERVICES 2025.07 66.02   <> Total          $66.02 $66.02,,
AWS CLOUD SERVICES,1,3.15
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  3.15  <> 4 75544 447641  03 3270 AW13 AWS AWS CLOUD SERVICES 2025.07 3.15   <> Total          $3.15 $3.15,,
AWS CLOUD SERVICES,1,876.7
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  876.70  <> 4 19900 727609 IC 03 3270  SBDBSR AWS CLOUD SERVICES 2025.07 876.70   <> Total          $876.70 $876.70,,
AWS CLOUD SERVICES,1,0.01
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  0.01  <> 4 69087 443841 CJ 08 3270  DATAX AWS CLOUD SERVICES 2025.07 0.01   <> Total          $0.01 $0.01,,
AWS CLOUD SERVICES,1,23.22
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  23.22  <> 4 20109 400945 DA 03 3270   AWS CLOUD SERVICES 2025.07 23.22   <> Total          $23.22 $23.22,,
AWS CLOUD SERVICES,1,10.34
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  10.34  <> 4 69996 435970 J1 03 3270   AWS CLOUD SERVICES 2025.07 10.34   <> Total          $10.34 $10.34,,
AWS CLOUD SERVICES,1,2.27
Loc Fund Account CC Sub Object Source Project Description Reference Debit Credit  <> 4 66080 721274 S7 09 3900   AWS CLOUD SERVICES 2025.07  2.27  <> 4 19900 727601 EB 03 3270  ESPLAT AWS CLOUD SERVICES 2025.07 2.27   <> Total          $2.27 $2.27,,
AWS CLOUD SERVICES,1,216.36
